property_id,property_type,operation,price,currency,area_m2,bedrooms,bathrooms,parking_spaces,furnished,pets_allowed,year_built,neighborhood,municipality,status,amenities,description
GT-0001,townhouse,sale,693000,USD,404.8,5,3,0,True,False,2021,Zona 10,Guatemala,available,"gym,parking,pool,security","Townhouse in Zona 10, Guatemala; 404.8 square meters and 5 bedrooms."
GT-0002,land,sale,2787000,USD,1503.6,0,0,2,False,True,2018,Zona 10,Guatemala,available,"balcony,garden,pool,security","Land in Zona 10, Guatemala; 1503.6 square meters and 0 bedrooms."
GT-0003,apartment,rent,10500,GTQ,172.2,2,4,0,False,False,2022,Zona 15,Guatemala,available,"balcony,garden,gym,parking","Apartment in Zona 15, Guatemala; 172.2 square meters and 2 bedrooms."
GT-0004,land,rent,46500,GTQ,837.0,0,0,1,True,True,2017,Zona 10,Guatemala,available,"parking,pool,security","Land in Zona 10, Guatemala; 837.0 square meters and 0 bedrooms."
GT-0005,land,rent,30000,GTQ,427.9,0,0,4,False,False,2016,Carretera a El Salvador,Fraijanes,available,"gym,security","Land in Carretera a El Salvador, Fraijanes; 427.9 square meters and 0 bedrooms."
GT-0006,land,rent,41500,GTQ,892.9,0,0,4,False,False,2006,Zona 15,Guatemala,available,"balcony,gym,parking","Land in Zona 15, Guatemala; 892.9 square meters and 0 bedrooms."
GT-0007,townhouse,rent,13500,GTQ,242.0,4,2.5,0,False,False,2009,Zona 14,Guatemala,available,"garden,gym","Townhouse in Zona 14, Guatemala; 242.0 square meters and 4 bedrooms."
GT-0008,land,rent,103500,GTQ,1704.2,0,0,3,True,False,2024,Zona 14,Guatemala,available,"balcony,garden,parking","Land in Zona 14, Guatemala; 1704.2 square meters and 0 bedrooms."
GT-0009,apartment,sale,417500,USD,236.0,5,1,4,False,False,1999,Zona 10,Guatemala,available,"balcony,parking","Apartment in Zona 10, Guatemala; 236.0 square meters and 5 bedrooms."
GT-0010,townhouse,rent,14000,GTQ,329.0,2,3,1,True,False,2011,Zona 10,Guatemala,available,"balcony,garden,parking,pool","Townhouse in Zona 10, Guatemala; 329.0 square meters and 2 bedrooms."
GT-0011,land,sale,1358000,USD,1032.0,0,0,0,False,False,2024,Zona 16,Guatemala,sold,"parking,security","Land in Zona 16, Guatemala; 1032.0 square meters and 0 bedrooms."
GT-0012,apartment,rent,9000,GTQ,187.8,3,2.5,1,True,True,2008,Zona 10,Guatemala,available,"gym,security","Apartment in Zona 10, Guatemala; 187.8 square meters and 3 bedrooms."
GT-0013,townhouse,rent,14500,GTQ,293.3,1,3,4,True,False,2022,Carretera a El Salvador,Fraijanes,available,"balcony,gym","Townhouse in Carretera a El Salvador, Fraijanes; 293.3 square meters and 1 bedrooms."
GT-0014,house,rent,20500,GTQ,337.3,1,1.5,1,False,False,2008,Antigua Centro,Antigua Guatemala,available,"balcony,pool","House in Antigua Centro, Antigua Guatemala; 337.3 square meters and 1 bedrooms."
GT-0015,land,sale,1061500,USD,813.1,0,0,3,False,False,2000,Carretera a El Salvador,Fraijanes,available,"garden,security","Land in Carretera a El Salvador, Fraijanes; 813.1 square meters and 0 bedrooms."
GT-0016,land,rent,26000,GTQ,392.2,0,0,0,False,False,2008,Zona 15,Guatemala,available,"balcony,parking,pool","Land in Zona 15, Guatemala; 392.2 square meters and 0 bedrooms."
GT-0017,house,sale,339000,USD,197.3,2,2,4,True,False,2013,Carretera a El Salvador,Fraijanes,available,"balcony,garden,parking,pool","House in Carretera a El Salvador, Fraijanes; 197.3 square meters and 2 bedrooms."
GT-0018,house,sale,470000,USD,364.8,1,2.5,4,False,False,2013,Zona 15,Guatemala,available,"balcony,garden,parking,pool","House in Zona 15, Guatemala; 364.8 square meters and 1 bedrooms."
GT-0019,townhouse,rent,4000,GTQ,122.9,3,1,0,False,True,1998,Zona 10,Guatemala,available,"parking,pool,security","Townhouse in Zona 10, Guatemala; 122.9 square meters and 3 bedrooms."
GT-0020,townhouse,rent,22000,GTQ,364.1,5,4,3,False,True,2016,Antigua Centro,Antigua Guatemala,available,"garden,parking,pool,security","Townhouse in Antigua Centro, Antigua Guatemala; 364.1 square meters and 5 bedrooms."
GT-0021,townhouse,rent,11000,GTQ,173.8,3,1,0,False,False,2005,Zona 15,Guatemala,available,"garden,parking,pool","Townhouse in Zona 15, Guatemala; 173.8 square meters and 3 bedrooms."
GT-0022,apartment,rent,10000,GTQ,137.0,1,4,1,False,False,1995,Carretera a El Salvador,Fraijanes,available,"parking,pool","Apartment in Carretera a El Salvador, Fraijanes; 137.0 square meters and 1 bedrooms."
GT-0023,house,rent,14500,GTQ,222.0,4,1.5,4,False,False,2020,Zona 16,Guatemala,available,"balcony,garden,gym,pool","House in Zona 16, Guatemala; 222.0 square meters and 4 bedrooms."
GT-0024,house,sale,103500,USD,66.5,5,2.5,4,True,False,2005,Zona 14,Guatemala,reserved,"balcony,parking,pool","House in Zona 14, Guatemala; 66.5 square meters and 5 bedrooms."
GT-0025,townhouse,sale,688500,USD,316.6,1,4,3,False,True,2012,Antigua Centro,Antigua Guatemala,sold,"balcony,parking,pool","Townhouse in Antigua Centro, Antigua Guatemala; 316.6 square meters and 1 bedrooms."
GT-0026,townhouse,sale,330000,USD,206.1,4,4,3,True,False,2023,Zona 15,Guatemala,available,"garden,gym,pool","Townhouse in Zona 15, Guatemala; 206.1 square meters and 4 bedrooms."
GT-0027,townhouse,rent,17000,GTQ,370.2,2,1,0,True,False,2013,Zona 10,Guatemala,available,"balcony,garden,gym,pool","Townhouse in Zona 10, Guatemala; 370.2 square meters and 2 bedrooms."
GT-0028,land,rent,78000,GTQ,1062.4,0,0,3,False,False,2004,Zona 10,Guatemala,available,"balcony,gym,parking,security","Land in Zona 10, Guatemala; 1062.4 square meters and 0 bedrooms."
GT-0029,house,sale,580500,USD,410.6,3,3,0,False,False,2006,Zona 10,Guatemala,sold,"balcony,security","House in Zona 10, Guatemala; 410.6 square meters and 3 bedrooms."
GT-0030,house,sale,166500,USD,130.1,5,1.5,0,False,False,2001,Carretera a El Salvador,Fraijanes,reserved,"parking,pool","House in Carretera a El Salvador, Fraijanes; 130.1 square meters and 5 bedrooms."
GT-0031,house,sale,133000,USD,109.3,3,2.5,0,False,False,2024,Carretera a El Salvador,Fraijanes,available,"garden,parking,pool,security","House in Carretera a El Salvador, Fraijanes; 109.3 square meters and 3 bedrooms."
GT-0032,apartment,sale,566500,USD,383.2,4,3,2,True,True,2005,Zona 16,Guatemala,reserved,"parking,security","Apartment in Zona 16, Guatemala; 383.2 square meters and 4 bedrooms."
GT-0033,townhouse,rent,19500,GTQ,413.8,4,2.5,2,False,False,2021,Zona 16,Guatemala,sold,"balcony,security","Townhouse in Zona 16, Guatemala; 413.8 square meters and 4 bedrooms."
GT-0034,land,sale,857000,USD,447.0,0,0,0,False,False,2021,Carretera a El Salvador,Fraijanes,available,"balcony,gym,pool,security","Land in Carretera a El Salvador, Fraijanes; 447.0 square meters and 0 bedrooms."
GT-0035,townhouse,sale,399000,USD,272.6,3,1.5,4,False,False,2007,Zona 16,Guatemala,available,"parking,pool","Townhouse in Zona 16, Guatemala; 272.6 square meters and 3 bedrooms."
GT-0036,townhouse,rent,13000,GTQ,191.4,4,4,2,True,False,2018,Zona 10,Guatemala,available,"balcony,gym,pool,security","Townhouse in Zona 10, Guatemala; 191.4 square meters and 4 bedrooms."
GT-0037,apartment,rent,13000,GTQ,278.0,3,1.5,0,True,True,2016,Zona 14,Guatemala,available,"balcony,gym,pool,security","Apartment in Zona 14, Guatemala; 278.0 square meters and 3 bedrooms."
GT-0038,townhouse,sale,511000,USD,364.1,4,3,0,True,False,2002,Zona 15,Guatemala,reserved,"balcony,garden,gym,parking","Townhouse in Zona 15, Guatemala; 364.1 square meters and 4 bedrooms."
GT-0039,house,sale,522000,USD,335.2,1,3,3,True,True,2012,Zona 16,Guatemala,available,"balcony,gym,parking,pool","House in Zona 16, Guatemala; 335.2 square meters and 1 bedrooms."
GT-0040,house,rent,15000,GTQ,316.6,3,2,0,False,True,1995,Antigua Centro,Antigua Guatemala,reserved,"balcony,garden,gym,security","House in Antigua Centro, Antigua Guatemala; 316.6 square meters and 3 bedrooms."
GT-0041,townhouse,rent,19000,GTQ,386.2,4,1.5,3,True,False,2010,Zona 16,Guatemala,available,"garden,gym,parking,security","Townhouse in Zona 16, Guatemala; 386.2 square meters and 4 bedrooms."
GT-0042,apartment,rent,10500,GTQ,250.8,3,2,4,True,True,2009,Carretera a El Salvador,Fraijanes,available,"balcony,garden,pool,security","Apartment in Carretera a El Salvador, Fraijanes; 250.8 square meters and 3 bedrooms."
GT-0043,house,rent,14000,GTQ,258.1,5,1.5,2,False,False,2012,Zona 14,Guatemala,available,"balcony,gym,security","House in Zona 14, Guatemala; 258.1 square meters and 5 bedrooms."
GT-0044,house,sale,373000,USD,296.6,2,4,1,True,False,2025,Carretera a El Salvador,Fraijanes,reserved,"balcony,gym,parking,pool","House in Carretera a El Salvador, Fraijanes; 296.6 square meters and 2 bedrooms."
GT-0045,townhouse,sale,276000,USD,238.3,2,4,4,False,True,2004,Carretera a El Salvador,Fraijanes,available,"balcony,gym","Townhouse in Carretera a El Salvador, Fraijanes; 238.3 square meters and 2 bedrooms."
GT-0046,townhouse,sale,504500,USD,241.6,4,1.5,0,True,True,2006,Zona 14,Guatemala,available,"gym,pool","Townhouse in Zona 14, Guatemala; 241.6 square meters and 4 bedrooms."
GT-0047,townhouse,rent,15000,GTQ,355.1,2,3,1,True,True,2016,Carretera a El Salvador,Fraijanes,available,"gym,security","Townhouse in Carretera a El Salvador, Fraijanes; 355.1 square meters and 2 bedrooms."
GT-0048,house,rent,6000,GTQ,121.8,4,4,3,False,True,2023,Zona 16,Guatemala,available,"balcony,garden,gym","House in Zona 16, Guatemala; 121.8 square meters and 4 bedrooms."
GT-0049,house,sale,655000,USD,354.9,3,4,1,False,True,2012,Zona 14,Guatemala,available,"balcony,gym,parking,pool","House in Zona 14, Guatemala; 354.9 square meters and 3 bedrooms."
GT-0050,townhouse,rent,18500,GTQ,348.3,4,1,0,True,True,2006,Zona 14,Guatemala,sold,"garden,gym,security","Townhouse in Zona 14, Guatemala; 348.3 square meters and 4 bedrooms."
GT-0051,land,sale,3103000,USD,1689.2,0,0,4,True,False,2004,Zona 16,Guatemala,available,"garden,parking,security","Land in Zona 16, Guatemala; 1689.2 square meters and 0 bedrooms."
GT-0052,apartment,sale,106500,USD,87.4,4,3,2,True,True,1998,Zona 10,Guatemala,available,"garden,gym,pool,security","Apartment in Zona 10, Guatemala; 87.4 square meters and 4 bedrooms."
GT-0053,apartment,sale,582500,USD,268.6,3,1,2,True,False,2025,Zona 16,Guatemala,sold,"garden,gym,parking,pool","Apartment in Zona 16, Guatemala; 268.6 square meters and 3 bedrooms."
GT-0054,house,rent,15000,GTQ,339.6,4,4,3,True,True,2009,Zona 16,Guatemala,available,"garden,pool","House in Zona 16, Guatemala; 339.6 square meters and 4 bedrooms."
GT-0055,apartment,rent,10000,GTQ,290.3,4,3,1,False,True,2022,Zona 14,Guatemala,available,"parking,security","Apartment in Zona 14, Guatemala; 290.3 square meters and 4 bedrooms."
GT-0056,townhouse,rent,17500,GTQ,359.1,5,1,1,True,True,2009,Carretera a El Salvador,Fraijanes,available,"balcony,garden,parking,pool","Townhouse in Carretera a El Salvador, Fraijanes; 359.1 square meters and 5 bedrooms."
GT-0057,apartment,sale,813000,USD,374.0,4,2.5,1,False,False,1997,Zona 16,Guatemala,available,"balcony,parking","Apartment in Zona 16, Guatemala; 374.0 square meters and 4 bedrooms."
GT-0058,house,sale,303000,USD,145.2,5,1,4,True,True,2015,Zona 15,Guatemala,available,"garden,gym,parking,security","House in Zona 15, Guatemala; 145.2 square meters and 5 bedrooms."
GT-0059,land,sale,856000,USD,666.1,0,0,4,True,False,2024,Antigua Centro,Antigua Guatemala,available,"balcony,garden","Land in Antigua Centro, Antigua Guatemala; 666.1 square meters and 0 bedrooms."
GT-0060,apartment,sale,463000,USD,273.5,5,3,3,False,True,2002,Zona 15,Guatemala,available,"garden,parking,pool","Apartment in Zona 15, Guatemala; 273.5 square meters and 5 bedrooms."
GT-0061,apartment,rent,13000,GTQ,210.5,1,2.5,1,False,False,2003,Zona 10,Guatemala,available,"balcony,gym","Apartment in Zona 10, Guatemala; 210.5 square meters and 1 bedrooms."
GT-0062,house,rent,6000,GTQ,96.0,3,1,3,True,False,2000,Antigua Centro,Antigua Guatemala,reserved,"gym,pool","House in Antigua Centro, Antigua Guatemala; 96.0 square meters and 3 bedrooms."
GT-0063,apartment,sale,131000,USD,60.6,4,1,2,True,True,2015,Zona 16,Guatemala,available,"garden,gym,security","Apartment in Zona 16, Guatemala; 60.6 square meters and 4 bedrooms."
GT-0064,house,sale,363000,USD,207.1,2,2,0,True,False,2024,Zona 15,Guatemala,available,"balcony,gym,pool,security","House in Zona 15, Guatemala; 207.1 square meters and 2 bedrooms."
GT-0065,house,rent,15500,GTQ,290.1,2,4,3,True,True,1999,Antigua Centro,Antigua Guatemala,sold,"gym,pool","House in Antigua Centro, Antigua Guatemala; 290.1 square meters and 2 bedrooms."
GT-0066,townhouse,sale,347500,USD,219.0,3,1,0,True,True,2021,Zona 10,Guatemala,available,"balcony,parking,security","Townhouse in Zona 10, Guatemala; 219.0 square meters and 3 bedrooms."
GT-0067,land,sale,3337000,USD,1553.2,0,0,4,False,False,2004,Zona 15,Guatemala,available,"garden,pool,security","Land in Zona 15, Guatemala; 1553.2 square meters and 0 bedrooms."
GT-0068,house,sale,398500,USD,298.8,1,1.5,1,True,True,2007,Zona 15,Guatemala,available,"balcony,garden,gym,security","House in Zona 15, Guatemala; 298.8 square meters and 1 bedrooms."
GT-0069,townhouse,rent,10000,GTQ,141.0,5,2,4,False,True,2018,Zona 14,Guatemala,available,"balcony,garden,pool,security","Townhouse in Zona 14, Guatemala; 141.0 square meters and 5 bedrooms."
GT-0070,house,rent,7000,GTQ,126.2,4,4,0,False,False,2021,Carretera a El Salvador,Fraijanes,available,"gym,parking,security","House in Carretera a El Salvador, Fraijanes; 126.2 square meters and 4 bedrooms."
GT-0071,house,rent,18000,GTQ,372.4,5,3,4,False,False,2014,Zona 16,Guatemala,available,"balcony,pool,security","House in Zona 16, Guatemala; 372.4 square meters and 5 bedrooms."
GT-0072,house,rent,8500,GTQ,198.9,1,1,1,False,True,2006,Zona 15,Guatemala,available,"pool,security","House in Zona 15, Guatemala; 198.9 square meters and 1 bedrooms."
GT-0073,apartment,sale,169000,USD,105.6,4,1,2,False,True,1998,Zona 10,Guatemala,available,"gym,parking,pool","Apartment in Zona 10, Guatemala; 105.6 square meters and 4 bedrooms."
GT-0074,townhouse,sale,433500,USD,239.8,4,1,1,True,True,2006,Zona 10,Guatemala,available,"pool,security","Townhouse in Zona 10, Guatemala; 239.8 square meters and 4 bedrooms."
GT-0075,house,rent,16000,GTQ,241.8,1,3,3,True,False,2010,Zona 14,Guatemala,available,"balcony,parking,pool","House in Zona 14, Guatemala; 241.8 square meters and 1 bedrooms."
GT-0076,land,rent,29500,GTQ,762.5,0,0,0,False,True,2008,Zona 10,Guatemala,available,"balcony,security","Land in Zona 10, Guatemala; 762.5 square meters and 0 bedrooms."
GT-0077,townhouse,sale,113500,USD,64.3,2,3,2,True,False,2023,Zona 10,Guatemala,available,"garden,parking,security","Townhouse in Zona 10, Guatemala; 64.3 square meters and 2 bedrooms."
GT-0078,apartment,rent,8500,GTQ,184.5,5,3,0,False,False,2004,Antigua Centro,Antigua Guatemala,available,"balcony,garden,gym,pool","Apartment in Antigua Centro, Antigua Guatemala; 184.5 square meters and 5 bedrooms."
GT-0079,townhouse,sale,429500,USD,336.0,5,2.5,1,True,True,2014,Zona 16,Guatemala,sold,"garden,gym,parking,pool","Townhouse in Zona 16, Guatemala; 336.0 square meters and 5 bedrooms."
GT-0080,townhouse,rent,16500,GTQ,343.9,1,4,0,False,False,2019,Carretera a El Salvador,Fraijanes,available,"garden,gym,pool,security","Townhouse in Carretera a El Salvador, Fraijanes; 343.9 square meters and 1 bedrooms."
GT-0081,land,rent,54500,GTQ,1111.0,0,0,0,False,False,2009,Antigua Centro,Antigua Guatemala,reserved,"garden,pool,security","Land in Antigua Centro, Antigua Guatemala; 1111.0 square meters and 0 bedrooms."
GT-0082,apartment,rent,10500,GTQ,270.7,5,1,2,True,True,2001,Zona 10,Guatemala,available,"garden,gym,security","Apartment in Zona 10, Guatemala; 270.7 square meters and 5 bedrooms."
GT-0083,apartment,sale,218000,USD,128.9,3,3,4,True,False,1999,Zona 10,Guatemala,available,"gym,pool","Apartment in Zona 10, Guatemala; 128.9 square meters and 3 bedrooms."
GT-0084,land,sale,849500,USD,386.5,0,0,3,True,True,2009,Zona 10,Guatemala,sold,"parking,pool","Land in Zona 10, Guatemala; 386.5 square meters and 0 bedrooms."
GT-0085,apartment,rent,13500,GTQ,219.5,3,3,2,True,False,2017,Carretera a El Salvador,Fraijanes,available,"balcony,parking,security","Apartment in Carretera a El Salvador, Fraijanes; 219.5 square meters and 3 bedrooms."
GT-0086,apartment,rent,22500,GTQ,436.6,4,2.5,3,True,False,2025,Zona 10,Guatemala,reserved,"balcony,garden,parking,pool","Apartment in Zona 10, Guatemala; 436.6 square meters and 4 bedrooms."
GT-0087,land,sale,674000,USD,528.9,0,0,0,False,False,2025,Antigua Centro,Antigua Guatemala,available,"garden,parking,pool,security","Land in Antigua Centro, Antigua Guatemala; 528.9 square meters and 0 bedrooms."
GT-0088,apartment,rent,16000,GTQ,285.0,1,2,4,True,True,2017,Zona 10,Guatemala,available,"garden,gym","Apartment in Zona 10, Guatemala; 285.0 square meters and 1 bedrooms."
GT-0089,land,rent,101500,GTQ,1458.5,0,0,0,False,False,2013,Zona 14,Guatemala,available,"balcony,gym","Land in Zona 14, Guatemala; 1458.5 square meters and 0 bedrooms."
GT-0090,land,rent,33000,GTQ,505.7,0,0,2,True,False,2022,Antigua Centro,Antigua Guatemala,available,"balcony,parking,security","Land in Antigua Centro, Antigua Guatemala; 505.7 square meters and 0 bedrooms."
